sensor_id,sensor_name,sensor_type,location_name,location_address,username,first_name,last_name,email,telephone,employee_code,position,department
13,light intensity sensor,lux,บ้านแอ่น,คันนายาว,Balthazar,รักชาติ,บุหงาชาติ,gdan@gmail.com,0848580445,10980,เขตพญาไท,สูงเนิน
14,light intensity sensor,lux,ป่าเมี่ยง,ดอยสะเก็ด,Bown,สมชาย,กาญจน์เจริญ,gqij@gmail.com,0846749564,20648,เขตธนบุรี,โนนสูง
15,pH sensor,-,ดินแดง,จตุจักร,Barnaby,เขมมิกา,พรมแสง,mmng@gmail.com,0891782914,69452,เขตบางกอกใหญ่,จักราช
16,smoke detector sensor,-,ยางคราม,ปลวกแดง,BossDark,จอมเพ็ชร,ฤทธิชัย,qwpk@gmail.com,0812328745,30876,เขตห้วยขวาง,สีคิ้ว
17,sound level sensor,%,ป่าป้อง,คลองสาน,Cassius,วิศวเนตร,เจริญสุข,yxmt@gmail.com,0891140925,63536,เขตคลองสาน,ขามสะแกแสง
18,motion detection sensor,-,จตุจักร,ดอยเต่า,Catana,จารุวิทย์,ฝั่งชลจิตต์,jatp@gmail.com,0880386510,31375,เขตตลิ่งชัน,พระทองคำ
19,EC sensor,ms/cm,นิคมพัฒนา,ปลวกแดง,Cruz,อวกาศ,ศรีธรรมราช,txgg@gmail.com,0820814787,53923,เขตบางกอกน้อย,หนองบุญมาก
20,sound level sensor,%,บ้านฉาง,ดอยสะเก็ด,Daxton,ประมวล,สุวรรณสิงห์,nguc@gmail.com,0854634752,63505,เขตบางขุนเทียน,ครบุรี
21,pH sensor,-,เมืองงาย,คลองสาน,Dicky,ณภัทร,เสริมหิรัญญสกุล,asze@gmail.com,0828731290,67048,เขตภาษีเจริญ,พิมาย
22,pH sensor,-,อุตรดิตถ์,ปงตำ,Ecio,ชนินทร์,สงค์ศรีอินทร์,cnan@gmail.com,0864471089,19010,เขตหนองแขม,ห้วยแถลง
23,CO2 sensor,%,สุรินทร์,ตะพง,ELION,วันชัย,หนักเกิด,ocly@gmail.com,087251152,27809,เขตราษฎร์บูรณะ,วังน้ำเขียว
24,humidity sensor,%,ปัตตานี,ดุสิต,Emerson,กูอุดม,สัญญา,esxz@gmail.com,0854406533,88490,เขตบางพลัด,คง
25,smoke detector sensor,-,กำแพงเพชร,วังหว้า,Ezra,ปัณณวิชญ์,เพชรรัตน์,fprx@gmail.com,0893369153,19511,เขตบึงกุ่ม,ด่านขุนทด
26,sound level sensor,%,สระแก้ว,พังราด,Finn,สถาพร,แม่นวิวัฒนกุล,gkcm@gmail.com,0865906694,33896,เขตสาทร,เขตหลักสี่
27,CO2 sensor,%,นครปฐม,บางขุนเทียน,FreeKill,ชินวร,หนูโสด,huvw@gmail.com,0870435015,17241,เขตบางซื่อ,เขตสายไหม
28,humidity sensor,%,ศรีสะเกษ,นาตาขวัญ,GASOHOL,ปกรณ์,จโนภาส,uqut@gmail.com,0898211439,45583,เขตจตุจักร,เขตคันนายาว
29,EC sensor,ms/cm,อุตรดิตถ์,ท่าเดื่อ,Gaston,พงษ์กฤษ,ชนะรบ,uqha@gmail.com,0888298381,47337,เขตบางคอแหลม,เขตสะพานสูง
30,sound level sensor,%,เพชรบูรณ์,แม่ฮ้อยเงิน,Gunnar,กาดติพล,แก้วเกตุ,vrtt@gmail.com,0874192588,65119,เขตประเวศ,เขตวังทองหลาง
31,motion detection sensor,-,สงขลา,จอมทอง,GUMMY,พรศิริ,บุญมูสิก,gire@gmail.com,0878308135,56141,เขตคลองเตย,เขตคลองสามวา
32,EC sensor,ms/cm,กาญจนบุรี,เชิงดอย,Imitation,ปกรณ์วรรธน์,จิตต์ชื่น,mdpa@gmail.com,0883846378,31127,เขตสวนหลวง,เขตบางนา
33,light intensity sensor,lux,ร้อยเอ็ด,ทับมา,Isaline,ครองจิตร,อินตา,eebw@gmail.com,0816203935,70239,เขตจอมทอง,เขตทวีวัฒนา
34,pH sensor,-,ฉะเชิงเทรา,แม่คือ,Jannyne,ธนากร,เกษเหมือน,mdje@gmail.com,0840907191,34653,เขตดอนเมือง,เขตทุ่งครุ
35,motion detection sensor,-,สมุทรปราการ,ท่าประดู่,JungleQueen,นันทศักดิ์,ฉิมหนู,veos@gmail.com,0898767656,71853,เขตราชเทวี,เขตบางบอน
36,EC sensor,ms/cm,พิจิตร,ป่าลาน,Karimloo,สานิตย์,ฉิมหนู,ydon@gmail.com,0814197136,65232,เขตลาดพร้าว,ขามทะเลสอ
37,pH sensor,-,ยะลา,คันนายาว,LaneSweeper,ชมพล,บดีรัฐ,abca@gmail.com,0813561477,44508,เขตวัฒนา,โนนไทย
38,humidity sensor,%,พังงา,ดุสิต,Luciano,ธนภัทร,เพชรรัตน์,zlew@gmail.com,083034725,87657,เขตบางแค,โชคชัย
39,CO2 sensor,%,มหาสารคาม,ปิงโค้ง,Lister,เสวก,พานุมาศ,myyy@gmail.com,0882019613,82946,เขตหลักสี่,เฉลิมพระเกียรติ
40,motion detection sensor,-,ชุมพร,จตุจักร,Lumburr,เอกพล,ใสคล้าย,nuws@gmail.com,0879279544,94094,เขตสายไหม,โนนแดง
41,temperature sensor,Celsius,อุตรดิตถ์,สันติสุข,Marion,สราญพงศ์,เต็มรัตน์,wjnx@gmail.com,0838899938,31578,เขตคันนายาว,ปักธงชัย
42,smoke detector sensor,-,สตูล,แม่ข่า,Nicasio,สุวิทย์,เชื้อบ้านเกาะ,fzaj@gmail.com,0898258193,57447,เขตสะพานสูง,สูงเนิน
43,humidity sensor,%,คลองสามวา,กำแพงเพชร,Nisrine,กษดินทร์,วิเศษประสิทธิ์,unxu@gmail.com,0846916597,57501,เขตวังทองหลาง,โนนสูง
44,pH sensor,-,จอมทอง,กรุงเทพมหานคร,Odin,เอกชัย,สุริยวงศ์กุลการ,kovr@gmail.com,0883194475,69148,เขตคลองสามวา,เทพารักษ์
45,humidity sensor,%,ดอนเมือง,พะเยา,OXTAPUT,กันย์,ฉันทภิญญา,aalt@gmail.com,084845165,10475,เขตบางนา,ประทาย
46,humidity sensor,%,ดอยสะเก็ด,ลำพูน,OverKill,วรชาติ,ปฏินันทกุล,nldn@gmail.com,086181691,84860,เขตทวีวัฒนา,ชุมพวง
47,humidity sensor,%,นิคมพัฒนา,หนองคาย,SELL,พรศักดา,สวัสดี,bjvx@gmail.com,0878291535,58116,เขตทุ่งครุ,บัวใหญ่
48,humidity sensor,%,จอมทอง,นครปฐม,Sven,จีระศักดิ์,กลิ่นอ่อน,fcxm@gmail.com,0879384758,29007,เขตบางบอน,เมืองยาง
49,humidity sensor,%,ปลวกแดง,สงขลา,SuperIdol,นัสธพงษ์,ทวีทรัพย์,fguu@gmail.com,0860557645,13947,ขามทะเลสอ,แก้งสนามนาง
50,sound level sensor,%,จอมทอง,ชัยภูมิ,SweetAssist,ปุญภพ,ปราบพาล,gvad@gmail.com,0822587372,32532,โนนไทย,บัวลาย
51,pH sensor,-,ดอยหล่อ,ชัยนาท,Tadeo,จารพัฒน์,มั่งมี,ueil@gmail.com,0893048,92888,โชคชัย,สีดา
52,humidity sensor,%,เขาชะเมา,ลำปาง,Warmest,ธฤตวัน,เสาะสมบูรณ์,icpj@gmail.com,0892249453,87406,เฉลิมพระเกียรติ,ลำทะเมนชัย
53,motion detection sensor,-,ปลวกแดง,อำนาจเจริญ,Zane,ธนภัทร,เสาะสมบูรณ์,mjfy@gmail.com,0863496021,94391,โนนแดง,เขตบางซื่อ
54,motion detection sensor,-,แกลง,พิษณุโลก,Zeended,วิทวัส,เพ็งสวย,pwhd@gmail.com,0830313292,40300,ปักธงชัย,เขตจตุจักร
55,EC sensor,ms/cm,คลองเตย,กาฬสินธุ์,Zeno,สมศักดิ์,อิทธิภิญโญภาพ,weze@gmail.com,0882538765,85083,สูงเนิน,เขตบางคอแหลม
56,light intensity sensor,lux,เมืองระยอง,เพชรบุรี,Zing,มนตรี,คันธบรรจง,ivdf@gmail.com,0846458930,83011,โนนสูง,เขตประเวศ
57,CO2 sensor,%,ดอยสะเก็ด,แพร่,InwzaROV,เธียรวิชญ์,สีสุวรรณ,pedk@gmail.com,0849489935,95760,จักราช,เขตคลองเตย
58,temperature sensor,Celsius,จตุจักร,พังงา,PROINW,สุรพศ,แซ่ว่าง,vkif@gmail.com,0818988304,30290,สีคิ้ว,เขตสวนหลวง
59,smoke detector sensor,-,จอมทอง,เพชรบุรี,I-Sad,ประจักษ์,แซ่ตั้ง,ychs@gmail.com,08482176,65956,ขามสะแกแสง,เขตจอมทอง
60,CO2 sensor,%,นิคมพัฒนา,พิษณุโลก,PROPLAY,สุรสีห์,แก้วมณี,mzni@gmail.com,0834192756,26938,พระทองคำ,เขตดอนเมือง
61,sound level sensor,%,ดอยสะเก็ด,กาฬสินธุ์,ACE,เกียรติศักดิ์,ใจคง,wzuq@gmail.com,0834873910,95976,หนองบุญมาก,เขตราชเทวี
62,CO2 sensor,%,คลองสาน,พระนครศรีอยุธยา,Argento,คมสัน,ปลัดท้วม,uxhr@gmail.com,0837317790,52433,ครบุรี,เขตลาดพร้าว
63,sound level sensor,%,เชียงดาว,สุราษฎร์ธานี,Apollo,วัสสวัสส์,โคกทับทิม,jixy@gmail.com,0814962223,70577,พิมาย,เขตวัฒนา
64,CO2 sensor,%,สีกัน,ดุสิต,Asher,ปุญภพ,อรุณรักษ์,ocbq@gmail.com,0881974970,60757,ห้วยแถลง,โนนสูง
65,light intensity sensor,lux,ตะพง,ดอยสะเก็ด,Aleister,จารพัฒน์,เพชรน้อย,cvap@gmail.com,0834916514,67640,วังน้ำเขียว,จักราช
66,sound level sensor,%,ดอยเต่า,ปลวกแดง,Ares,ธฤตวัน,พูลเกิด,ykxo@gmail.com,0873615737,23182,คง,สีคิ้ว
67,EC sensor,ms/cm,มาบข่า,ปลวกแดง,Balthazar,ธนภัทร,หนูช่วย,sktw@gmail.com,083854851,28487,ด่านขุนทด,ขามสะแกแสง
68,pH sensor,-,แม่โป่ง,เชียงดาว,Barnaby,วิทวัส,รักษาชาติ,duqw@gmail.com,0838493350,92917,ปากช่อง,พระทองคำ
69,EC sensor,ms/cm,ท่าเดื่อ,เขาชะเมา,Cassius,สมศักดิ์,เกลี้ยงกมล,jtvv@gmail.com,0842131699,47400,บ้านเหลื่อม,หนองบุญมาก
70,CO2 sensor,%,เมืองคอง,คลองเตย,Cruz,มนตรี,กล่อมแก้ว,dhui@gmail.com,085696685,92417,เสิงสาง,ครบุรี
71,temperature sensor,Celsius,ตาสิทธิ์,ดอยสะเก็ด,Daxton,เธียรวิชญ์,ฉิมหนู,trrp@gmail.com,0872124867,92164,เทพารักษ์,พิมาย
72,pH sensor,-,พลา,บ้านฉาง,Dicky,สุรพศ,บดีรัฐ,lzgy@gmail.com,0830483547,14346,ประทาย,ห้วยแถลง
73,EC sensor,ms/cm,คลองสาน,คลองสามวา,Ecio,ประจักษ์,เพชรรัตน์,lugj@gmail.com,0855514371,26446,ชุมพวง,วังน้ำเขียว
74,smoke detector sensor,-,หนองตะพาน,จอมทอง,Emerson,สุรสีห์,พานุมาศ,fqnb@gmail.com,0870199882,71466,บัวใหญ่,คง
75,temperature sensor,Celsius,แม่ทะลบ,ดอยสะเก็ด,Ezra,เกียรติศักดิ์,ใสคล้าย,erch@gmail.com,0844481416,48132,เมืองยาง,ด่านขุนทด
76,humidity sensor,%,ลวงเหนือ,ดุสิต,Finn,คมสัน,เต็มรัตน์,rftb@gmail.com,0810560085,29753,แก้งสนามนาง,ปากช่อง
77,humidity sensor,%,มะขามคู่,ดอยสะเก็ด,FreeKill,วัสสวัสส์,เชื้อบ้านเกาะ,heyc@gmail.com,0857745638,48050,บัวลาย,บ้านเหลื่อม
78,motion detection sensor,-,เมืองงาย,ดอยสะเก็ด,Gaston,พรศิริ,วิเศษประสิทธิ์,bywl@gmail.com,0845182179,97260,สีดา,เสิงสาง
79,motion detection sensor,-,น้ำคอก,จตุจักร,Gunnar,ปกรณ์วรรธน์,สุริยวงศ์กุลการ,eyrw@gmail.com,0825517000,54676,ลำทะเมนชัย,เทพารักษ์
80,humidity sensor,%,จอมพล,บ้านค่าย,Imitation,ครองจิตร,ฉันทภิญญา,lpsx@gmail.com,0861724796,29982,เขตบางซื่อ,ประทาย
81,CO2 sensor,%,สันติสุข,เมืองระยอง,Isaline,ธนากร,ปฏินันทกุล,regm@gmail.com,0877446413,49167,เขตจตุจักร,ชุมพวง
82,EC sensor,ms/cm,ตาขัน,ปลวกแดง,Jannyne,นันทศักดิ์,สวัสดี,mjey@gmail.com,0890254334,85425,เขตบางคอแหลม,บัวใหญ่
83,pH sensor,-,แม่น้ำคู้,ปลวกแดง,JungleQueen,สานิตย์,กลิ่นอ่อน,lssf@gmail.com,0841222190,86206,เขตประเวศ,เมืองยาง
84,EC sensor,ms/cm,แม่ข่า,ดอยเต่า,Karimloo,ชมพล,ทวีทรัพย์,uxxu@gmail.com,0820483003,43763,เขตคลองเตย,แก้งสนามนาง
85,CO2 sensor,%,ชลบุรี,ศรีสะเกษ,LaneSweeper,ธนภัทร,ปราบพาล,ldvp@gmail.com,0899728502,83213,เขตสวนหลวง,บัวลาย
86,humidity sensor,%,ขอนแก่น,นครราชสีมา,Luciano,เสวก,มั่งมี,help@gmail.com,083025734,96212,เขตจอมทอง,เขตบางกะปิ
87,EC sensor,ms/cm,ชัยนาท,นครปฐม,Lumburr,เอกพล,เสาะสมบูรณ์,wppi@gmail.com,0852413533,57953,เขตดอนเมือง,เขตปทุมวัน
88,pH sensor,-,พิจิตร,อำนาจเจริญ,Marion,สราญพงศ์,เสาะสมบูรณ์,muqu@gmail.com,0854279847,19565,เขตราชเทวี,เขตป้อมปราบศัตรูพ่าย
89,EC sensor,ms/cm,พัทลุง,สระบุรี,Nicasio,สุวิทย์,เพ็งสวย,whqg@gmail.com,0879333179,15418,เขตลาดพร้าว,เขตพระโขนง
90,motion detection sensor,-,ร้อยเอ็ด,คลองสาน,Nisrine,กษดินทร์,อิทธิภิญโญภาพ,fkvt@gmail.com,0850154718,91308,เขตวัฒนา,เขตมีนบุรี
91,smoke detector sensor,-,ขอนแก่น,เชียงดาว,Odin,เอกชัย,คันธบรรจง,hqez@gmail.com,0881977790,57711,เขตบางแค,เขตลาดกระบัง
92,temperature sensor,Celsius,นราธิวาส,สีกัน,OverKill,กันย์,สีสุวรรณ,maeq@gmail.com,0857661536,63001,เขตหลักสี่,เขตยานนาวา
93,sound level sensor,%,หนองคาย,ตะพง,Sven,วรชาติ,แซ่ว่าง,ikep@gmail.com,086288373,64742,เขตสายไหม,เขตสัมพันธวงศ์
94,EC sensor,ms/cm,นครปฐม,ดอยเต่า,SweetAssist,พรศักดา,แซ่ตั้ง,fhgf@gmail.com,0881748888,95213,ชุมพวง,เขตพญาไท
95,temperature sensor,Celsius,ชลบุรี,มาบข่า,Tadeo,จีระศักดิ์,แก้วมณี,sfml@gmail.com,0852659063,54166,บัวใหญ่,เขตธนบุรี
96,light intensity sensor,lux,สตูล,แม่โป่ง,Warmest,นัสธพงษ์,สงค์ศรีอินทร์,iojx@gmail.com,0838617201,94557,เมืองยาง,เขตบางกอกใหญ่
97,motion detection sensor,-,บุรีรัมย์,ท่าเดื่อ,Zane,ปุญภพ,หนักเกิด,mepg@gmail.com,0861815644,94796,แก้งสนามนาง,เขตห้วยขวาง
98,light intensity sensor,lux,แม่ฮ่องสอน,เมืองคอง,Zeno,จารพัฒน์,สัญญา,cdpq@gmail.com,087054934,74897,เขตจตุจักร,เขตจตุจักร
99,pH sensor,-,กาฬสินธุ์,ตาสิทธิ์,InwzaROV007,กฤษณชัย,เพชรรัตน์,ztzx@gmail.com,0843306439,68734,เขตบางคอแหลม,เขตบางคอแหลม
100,pH sensor,-,แพร่,พลา,I-Sad,ฤชิษฐ์,แม่นวิวัฒนกุล,sxsi@gmail.com,087996651,37274,เขตประเวศ,เขตประเวศ
